interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp,energy,congestion,loss
2024-01-05T14:00:00-05:00,2024-01-05 19:00:00+00:00,2024-01-05T15:00:00-05:00,2024-01-05 20:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,59.58,58.42,0.0,1.16
2024-01-05T15:00:00-05:00,2024-01-05 20:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-05 21:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,60.33,61.6,0.0,-1.27
2024-01-05T16:00:00-05:00,2024-01-05 21:00:00+00:00,2024-01-05T17:00:00-05:00,2024-01-05 22:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,45.06,48.47,0.0,-3.41
2024-01-05T17:00:00-05:00,2024-01-05 22:00:00+00:00,2024-01-05T18:00:00-05:00,2024-01-05 23:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.35,53.38,0.0,-4.03
2024-01-05T18:00:00-05:00,2024-01-05 23:00:00+00:00,2024-01-05T19:00:00-05:00,2024-01-06 00:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,56.97,61.26,0.0,-4.29
2024-01-05T19:00:00-05:00,2024-01-06 00:00:00+00:00,2024-01-05T20:00:00-05:00,2024-01-06 01:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,43.26,46.29,0.0,-3.03
2024-01-05T20:00:00-05:00,2024-01-06 01:00:00+00:00,2024-01-05T21:00:00-05:00,2024-01-06 02:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.21,51.33,0.0,-2.12
2024-01-05T21:00:00-05:00,2024-01-06 02:00:00+00:00,2024-01-05T22:00:00-05:00,2024-01-06 03:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,51.46,52.91,0.0,-1.45
2024-01-05T22:00:00-05:00,2024-01-06 03:00:00+00:00,2024-01-05T23:00:00-05:00,2024-01-06 04:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,44.64,45.71,0.0,-1.07
2024-01-05T23:00:00-05:00,2024-01-06 04:00:00+00:00,2024-01-06T00:00:00-05:00,2024-01-06 05:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,43.13,44.19,0.0,-1.06
2024-01-06T00:00:00-05:00,2024-01-06 05:00:00+00:00,2024-01-06T01:00:00-05:00,2024-01-06 06:00:00+00:00,AR.BEARSWMP13.8BSW1P,NETWORK NODE,49.19,50.74,0.0,-1.55
